Nº de ingreso,Signatura,Forma,Tema,Autor,Fecha,Color,Lugar,Descripción,Palabras claves,Medidas,Observaciones,Manchas,Roturas,Escrituras,Pérdida de elementos,Rayaduras,Dobleces,Pérdida de color,Otros deterioros
1,ELE-0001,Fotografía,Calle,s/a,s/f.,sepia,Rímac,Vista general del Jr. Trujillo. Al fondo se aprecia la iglesia de San Lázaro,"iglesia de San Lázaro, arquitectura religiosa, colonia, Lima",149x170,,no,no,no,si,no,si,no,no
38,ELE-0001,Fotografía,Calle,s/a,s/f.,sepia,Rímac,Vista general del Jr. Trujillo. Al fondo se aprecia la iglesia de San Ildefonso,,240x182,Ver fotografía nº de ingreso 1,no,no,no,si,no,no,no,no
2,ELE-0002,Fotografía,Edificio comercial,s/a,1874,b/n,Jr. de la Unión. Calle Núñez,Local donde funcionó el Club Nacional y el Jockey Club del Perú. Al lado se aprecia parte de  la fachada de la desaparecida Casa de Olavide,"Club Nacional, Jockey Club del Perú, Casa Olavide, arquitectura , Lima",179x239,,no,no,no,no,no,no,no,no
3,ELE-0003,Fotografía,Monumento,s/a,1874,sepia,Plaza del Congreso,Monumento al Libertador Simón Bolívar el la Plaza del Congreso (antes llamada Plaza Bolívar); al fondo se aprecian las torres de la iglesia de la Caridad después de su tranformación a fines del siglo XIX.,"Simón Bolívar, Plaza, iglesia de la Caridad, siglo XIX, Lima, monumento",170x115,Ver: ELE-019,no,no,no,no,no,no,no,no
231,ELE-0003,Fotografía,Calle,s/a,1872,sepia,Jr. de la Unión,"Vista general de la calle Palacio, al fondo se aprecia el Arco del Puente",,232x175,Ver Col. Fotográfica,no,no,si,no,no,no,no,no
4,ELE-0004,Fotografía,Calle,s/a,1885,b/n,Jr. de la Unión,Vista parcial de la calle de Espaderos,"calle de Espaderos, Lima, urbanismo, centro histórico",180x240,,no,no,no,no,no,no,no,no
5,ELE-0005,Fotografía,Callejón,s/a,1890,b/n,Plaza Mayor de Lima,"Vista general del callejón de Petateros, hoy  Pasaje Olaya","callejón de Petateros, pasaje Olaya, centro histórico, urbanismo, Lima",219x162,Ver: ELE-018; ELE-036,no,no,no,no,no,no,no,no
40,ELE-0005,Fotografía,Callejón,s/a,1890,b/n,Plaza Mayor de Lima,"Vista general del callejón de Petateros, hoy  Pasaje Olaya",,240x180,Ver fotografía nº de ingreso 5,no,no,no,no,no,no,no,no
6,ELE-0006,Fotografía,Calle,s/a,1899,b/n,Cercanías de la Plaza Dos de Mayo,"Vista de la calle de Malambito, al fondo el monumento al Combate de Dos de Mayo",calle de Malmbito,220x160,,no,no,no,no,no,no,no,no
234,ELE-0006,Fotografía,Iglesia,s/a,s/f.,b/n,Plaza Mayor de Lima,Vista general de la Catedral de Lima y de la iglesia del Sagrario vista desde la calle Mantas,,253x204,Foto de cuadro de Rugendas,no,no,no,no,no,no,no,no
7,ELE-0007,Fotografía,Calle,s/a,1902,b/n,Lima,Vista de la calle de Monserrate; se aprecia una carreta con forraje,,241x179,,no,no,no,no,no,no,no,no
8,ELE-0008,Fotografía,Alameda,s/a,s/f.,sepia,Rimac,Pileta al final de la Alameda de los Descalzos,,241x182,,no,no,no,no,no,no,no,no
9,ELE-0009,Fotografía,Calle,s/a,1872,sepia,Lima. Jr. de la Unión,"Vista parcial de la calle Palacio, se aprecia un aspecto del Arco del Puente",,179x234,Ver Col. Fotográfica,no,no,no,no,no,no,no,no
10,ELE-0010,Fotografía,Calle,s/a,1860,sepia,Plaza Mayor,Esquina de los Portales de Botoneros y Escribanos (calles Mantas y Mercaderes),,197x150,Ver Col. Fotográfica. Copia,no,no,si,no,no,no,si,no
11,ELE-0011,Fotografía,Vivienda,s/a,1910,b/n,Lima,Casa de la familia Olavegoya. Esq. de las calles Concepción y Trapitos,,218x157,,si,no,si,no,no,no,no,no
12,ELE-0012,Fotografía,Calle,s/a,1904,b/n,Lima,Esquina de las calles Boza y San Cristóbal del Tren,,212x135,Foto de foto,no,no,si,no,no,no,si,no
43,ELE-0012,Fotografía,Calle,s/a,1904,b/n,Lima,Esquina de las calles Boza y San Cristóbal del Tren,,220x137,Foto de foto. Ver fotografía nº de ingreso 12,no,no,no,no,no,no,no,no
15,ELE-0012,Fotografía,Calle,s/a,1904,b/n,Lima,Esquina de las calles Boza y San Cristóbal del Tren,,212x135,Foto de foto. Ver fotografía nº de ingreso 12,no,no,no,no,no,no,no,no
13,ELE-0013,Fotografía,Plaza y Parque,s/a,1925,b/n,Lima,Jardines de la Plazuela de la Exposición. Al fondo el restaurante del Zoológico.,,240x160,No muy nítida,no,no,no,no,no,no,no,no
14,ELE-0014,Fotografía,Calle,s/a,1885,sepia,Lima,Aspecto de la calle de Espaderos (Jr. de la Unión). Se aprecia un policía uniformado,,179x239,,no,no,no,no,no,no,no,no
16,ELE-0015,Fotografía,Plaza y Parque,s/a,1899,b/n,Calle Belén. Cercanías del teatro Colón y vecindad del Hotel Bolívar,"Vista de la Plaza ""La Micheo"", hoy desaparecida. Sus terrenos forman parte de la Plaza San Martín",,219x160,Foto de foto algo borrosa. Ver: ELE-037,no,no,no,no,no,no,no,no
17,ELE-0016,Fotografía,Alameda,s/a,1960,b/n,Rímac,Aspecto del Paseo de Aguas,,239x153,,no,no,no,no,si,no,no,no
18,ELE-0017,Fotografía,Edificio público,s/a,1900,b/n,Rímac,"Vista general de la estación del Tramways de Lima, hoy desaparecido",,219x170,Foto de foto algo borrosa,si,no,no,no,no,no,si,no
19,ELE-0018,Fotografía,Callejón,s/a,1898,sepia,Plaza Mayor de Lima,"Vista general del callejón de Petateros (hoy pasaje Olaya), visto desde la calle Plateros de San Pedro",,164x228,Ver: ELE-005; ELE-036,no,no,no,no,no,no,no,no
20,ELE-0019,Fotografía,Monumento,s/a,s/f.,b/n,Plaza del Congreso,Monumento al Libertador Simón Bolívar el la Plaza del Congreso (antes llamada Plaza Bolívar); al fondo se aprecia  la iglesia de la Caridad,,239x129,Foto de foto bastante borrosa. Ver: ELE-003,no,no,no,no,no,no,no,si
21,ELE-0020,Fotografía,Estampa costumbrista,s/a,1906,b/n,Lima,"Costumbre de ""Padrino sebo"" en bautizo. Bautisterio de San Sebastián",,239x179,,no,no,no,no,no,no,no,no
22,ELE-0021,Fotografía,Edificio público,s/a,1885,sepia,Lima,Fachada de la Estación de la Encarnación. Ferrocarril Inglés de Lima a Chorrillos. Hoy Plaza San Martín.,,239x179,Ver Col. Fotográfica,no,no,no,no,no,no,no,no
23,ELE-0022,Fotografía,Calle,s/a,1889,b/n,Lima. Jr. de la Unión,Vista general de la calle de Mercaderes,,215x130,Foto de  litografía del Perú Ilustrado,no,no,no,no,no,no,no,no
24,ELE-0023,Fotografía,Calle,s/a,s/f.,b/n,Lima,Vista general de la calle de Bodegones,,159x199,Fotografía de un dibujo,no,no,no,no,no,no,no,no
25,ELE-0024,Fotografía,Calle,s/a,s/f.,b/n,Plaza Mayor de Lima,Vista de la esquina de la calle Mantas y Portales,,172x213,Fotografía de un grabado de Rugendas. Siglo XIX. Muy borroso,no,no,no,no,no,no,no,no
26,ELE-0025,Fotografía,Edificio público,s/a,1870,sepia,Esq. Calles Judios y Bodegones.,Vista de una de las esquinas del Hotel Francia e Inglaterra,,241x179,"Fotografía de un grabado de la Estadística de Lima, de Fuentes",no,no,no,no,no,no,no,no
